Rarity,Name,Hero,Series,Type,ATK,HP,RCV,LC,Max Lv.,M.ATK,M.HP,M.RCV,M.LC,Limit,Leader Skill,Skill,Req. Lc,Arte,Ability 1,Ability 1 Description,Ability 2,Ability 2 Description,Ability 3,Ability 3 Description,Ability 4,Ability 4 Description,Skill Type
4,The Supreme Flame,Sara,Link,Slash,755,718,792,4,90,1815,2026,1904,4,6,Boost ATK of all heroes to 1.5x,Boost ATK of all types to 1.2x for 1 turn,25,4 hits against one foe (63% x4),First Link,Boost ATK by 5% when used to start link,Weapon Boost 3,Boost weapon stats by 8%,Strength 4,ATK +200,,,
4,Fire God,Vargas,ToLxBF Collab,Slash,741,758,683,4,90,1785,2138,1642,4,6,Boost ATK of slash heroes to 1.6x,Boost triangle/square ATK to 1.4x for 2 turns,30,5 hits against one foe (50% x5),Fire Shield,Reduces fire damage by 10%,Weapon Boost 3,Boost weapon stats by 8%,Fire God,Boost ATK by 10% when at 50% or less HP,,,
3,Fire King,Vargas,ToLxBF Collab,Slash,519,531,488,4,60,1389,1668,1308,4,4,Boost ATK of slash heroes to 1.3x,Boost square ATK to 1.4x for 1 turn,25,5 hits against one foe (40% x4),Fire Shield,Reduces fire damage by 10%,Weapon Boost 3,Boost weapon stats by 8%,,,,,
5,Divine Record,Metal God,ToLxBF Collab,Bash,123,2000,123,2,15,123,2000,123,2,0,N/A,Deal a 6x-power dark attack to one foe,35,1 hit against one foe (195% x1),Inspirit Attackers 2,May boost ATK of all heroes by 5%,Quick Drain 3,May heal 3% of damage dealt,Arte Plus 5,Increases arte trigger rate by 5%,Lucky Healing 4,May heal 15% of HP,
4,Regal Record,Metal King,ToLxBF Collab,Bash,123,1500,123,2,10,123,1500,123,2,0,N/A,Deal a 5x-power dark attack to one foe,35,1 hit against one foe (175% x1),Inspirit Attackers,May boost ATK of all heroes by 3%,Quick Drain 2,May heal 2% of damage dealt,Lucky Healing 2,May heal 5% of HP,,,
3,Spirit Record,Metal Ghost,ToLxBF Collab,Bash,123,1000,123,2,5,123,1000,123,2,0,N/A,Deal a 3x-power dark attack to one foe,35,1 hit against one foe (155% x1),Inspirit Attackers,May boost ATK of all heroes by 3%,Lucky Healing,May heal 3% of HP,,,,,
4,Creator,Maxwell,ToLxBF Collab,Spell,775,702,784,12,60,,,,,4,Boost ATK of spell heroes to 1.6x,Boost ATK of spell to 1.6x for 3 turns,30,4 hits against all foes (63% x4),Lucky Healing,May heal 3% of HP,Double Boost 2,Boost weapon and armor stats by 5%,Grand Gaia's Creator,HP/ATK/RCV +150,,,
5,Schoolyard Madonna,Muzet,Xillia 2,Spell,,,,,,,,,,,"Boost ATK of bash/spell to 1.5x, RCV to 1.6x",Change circle/square/heart into star,45,3 hits against one foe (100% x3),,,,,,,,,
5,Royal Guard,Paris,ToLxBF Collab,Thrust,526,690,259,6,,2049,2935,1364,,4,Boost HP/ATK of slash/thrust to 1.5x,Change triangle/square into star,35,3 hits against one foe (100% x3),Strength 2,ATK +100,Lucky Healing 2,May heal 5% of HP,Life Gain 4,Boost HP by 10%,Weapon Boost 6,Boost weapon stats by 15%,
5,Sealed Goddess,Tilith,ToLxBF Collab,Spell,516,701,259,12,,2009,2982,1364,12,4,Boost ATK/RCV of all heroes to 1.4x,Change square into heart,25,5 hits against one foe (60% x5),Repair 2,RCV +100,Lucky Healing 2,May heal 5% of HP,Armor Boost 4,Boost armor stats by 10%,Sealed Goddess,Boost RCV by 10% when at 50% or less HP,
5,Commander of Fire,Sara,ToLxBF Collab,Slash,633,579,256,4,99,2463,2462,1351,4,4,Boost ATK of all heroes to 1.6x,Boost ATK of all types to 1.6x for 1 turn,25,4 hits against one foe (75% x4),Double Boost,Boost weapon and armor stats by 3%,Quick Drain 2,May heal 2% of damage dealt,Strength 4,ATK +200,Link Finisher 5,Boost ATK by 15% when finisher of a 4+ link,
4,Logistics Support,Lin,ToLxBF Collab,Bash,624,743,716,10,,,,,,10,Boost HP/RCV of all heroes to 1.3x,Change triangle to heart,25,3 hits against one foe (84% x3),Repair 2,RCV +100,Inspirit Attackers 3,May boost ATK of all heroes by 8%,Weapon Boost 4,Boost weapon stats by 10%,,,
4,Young Scientist,Jude,Xillia 2,Bash,485,852,79,2,70,1390,2864,216,2,4,Boost ATK of all heroes to 1.4x,Change square to heart,30,4 hist against one foe (63% x4),Quick Drain 3,May heal 3% of damage dealt,Lucky Healing 2,May heal 5% of HP,Double Boost 3,Boost weapon and armor stats by 8%,,,
3,Bashing Bride,Ayncia,Link,Bash,218,373,28,2,40,806,1495,138,2,4,Boost RCV of bash heroes to 1.3x,Change triangle to heart,30,6 hits against one foe (100% x2),First Link,Boost ATK by 5% when used to start link,Bashing Bride,RCV +150,,,,,
3,Slashing Bride,Ayncia,Link,Slash,302,169,51,4,40,1120,680,256,4,4,Boost RCV of bash heroes to 1.3x,Change triangle to heart,30,6 hits against one foe (100% x2),First Link,Boost ATK by 5% when used to start link,Slashing Bride,RCV +150,,,,,
3,Thrusting Bride,Ayncia,Link,Thrust,202,226,103,6,40,747,906,512,6,4,Boost RCV of bash heroes to 1.3x,Change triangle to heart,30,6 hits against one foe (100% x2),First Link,Boost ATK by 5% when used to start link,Thrusting Bride,RCV +150,,,,,
3,Casting Bride,Ayncia,Link,Spell,192,124,175,12,40,709,498,870,12,4,Boost RCV of bash heroes to 1.3x,Change triangle to heart,30,6 hits against one foe (100% x2),First Link,Boost ATK by 5% when used to start link,Casting Bride,RCV +150,,,,,
3,Shooting Bride,Ayncia,Link,Shot,252,214,77,3,40,,,,3,4,Boost RCV of bash heroes to 1.3x,Change triangle to heart,30,6 hits against one foe (100% x2),First Link,Boost ATK by 5% when used to start link,Shooting Bride,RCV +150,,,,,
4,Goddess,Tilith,ToLxBF Collab,Spell,,,,,,,,,,4,Boost ATK/RCV of all heroes to 1.2x,Change square to heart,30,5 hits against all foes (50% x5),Repair 2,RCV +100,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,Armor Boost 4,Boost armor stats by 10%,,,
4,Wisewoman,Raine,Symphonia,Spell,426,284,496,12,70,1222,955,1361,12,4,Boost RCV of spell heroes to 1.6x,"Restore 5,000 HP",35,2 light-type hits against one foe (125% x2),Weapon Boost 2,Boost weapon stats by 5%,Fire Shield,Reduces fire damage by 10%,Weapon Boost 4,Boost weapon stats by 10%,,,
5,Awkward Kimono,Leia,Xillia 2,Bash,546,4095,25,2,99,2128,4095,134,2,4,Boost HP/RCV of bash/spell heroes to 1.5x,Change square to heart,15,4 hits against all foes (88% x4),Heal Plus 2,Boost RCV by 5%,Lucky Healing 2,May heal 5% of HP,Link Boost 4,Increases starting value of link gauge by 5,Pinch Healer 2,Boost RCV by 25% when at 30% or less HP,
5,Early Christmas Gift,Milla,Xillia,Spell,,,,12,99,2128,1183,2233,12,4,Boost ATK of slash/bash/spell to 1.6x,Change circle/triangle/square into star,45,3 hits against all foes (117% x3),Strength 2,ATK +100,Link Boost 4,Increases starting value of link gauge by 5,Forcefulness 4,Boost ATK by 10%,Early Christmas Gift,#N/A,
5,Slashwing,Slicehawk,Link,Slash,1030,592,233,4,59,2874,1952,601,4,0,Boost RCV of all heroes to 1.1x,Boost ATK of all types to 1.1x for 1 turn,40,2 hits against one foe (150% x2),,,,,,,,,
5,Thrustwing,Stabhawk,Link,Thrust,687,790,446,6,59,1916,2602,1202,6,0,Boost RCV of all heroes to 1.1x,Boost ATK of all types to 1.1x for 1 turn,40,2 hits against one foe (150% x2),,,,,,,,,
5,Castwing,Spellhawk,Link,Thrust,652,434,759,12,59,1821,1431,2043,12,0,Boost RCV of all heroes to 1.1x,Boost ATK of all types to 1.1x for 1 turn,40,2 hits against one foe (150% x2),,,,,,,,,
5,Shotwing,Blasthawk,Link,Shot,859,750,335,3,59,2395,2472,901,3,0,Boost RCV of all heroes to 1.1x,Boost ATK of all types to 1.1x for 1 turn,40,2 hits against one foe (150% x2),,,,,,,,,
5,Bashwing,Bludgeonhawk,Link,Bash,742,1303,121,2,59,2070,4293,324,2,0,Boost RCV of all heroes to 1.1x,Boost ATK of all types to 1.1x for 1 turn,40,2 hits against one foe (150% x2),,,,,,,,,
5,Maelstrom Lord,Saleh,Rebirth,Spell,516,657,279,12,99,2009,2793,1471,12,4,"Boost HP of spell heroes to 1.2x, ATK to 1.8x",Boost star ATK to 2.0x for 2 turns,30,4 wind-type hits against one foe (88% x4),,,,,,,,,
5,New Year's Kimono,Ludger,Xillia 2,Thrust,535,607,243,6,99,,,,,4,Bosot ATK of thrust/bash heroes to 1.4x,Boost ATK of thrust/bash to 1.8x for 1 turn,30,Restore 50% of damage dealt as HP (200% x1),Weapon Boost 2,Boost weapon stats by 5%,Vitality 3,HP +150,Strength 4,ATK +200,Weapon Boost 5,Boost weapon stats by 12%,
4,Beast Prince,Caius,Tempest,Slash,673,387,146,4,,,,,4,4,Boost HP/ATK of slash/shot heroes to 1.4x,Change circle/square to triangle,45,4 hits against all foes (50% x4),Strength 2,ATK +100,First Link 2,Boost ATK by 10% when used to start link,Crisis Attacker 2,Boost ATK by 40% when at 10% or less HP,,,
5,Fair Nobleman,Zelos,Symphonia,Slash,870,384,134,4,99,3389,1633,709,4,4,Boost ATK of slash/bash heroes to 1.8x,Give an aura to one of your present characters,10,5 hits against one foe (70% x5),Armor Boost 2,Boost armor stats by 5%,Heal Plus 3,Boost RCV by 8%,Repair 5,RCV +?,Strength 5,ATK +250,
5,Blushing in Finery,Luke,Abyss,Slash,911,429,155,4,,,,,4,4,Boost ATK of slash/thrust heroes to 1.8x,"Restore 5,000 HP",10,8 hits against all foes (44% x8),,,,,,,,,
5,Inferno Queen,Elza,ToLxBF Collab,Spell,627,557,269,12,99,,,,12,4,Boost ATK to 2.0x when at 50%+ HP,Change all markers to square,45,4 hits against all foes (75% x4),Arte Plus,Increases arte trigger rate by 1%,Strength 3,ATK +150,Vitality 4,HP +200,Inferno Queen,Boost ATK by 15% when at 50% or more HP,
4,Naive Innocence,Chelsea,Destiny,Shot,363,328,112,3,50,1105,1075,449,3,4,Boost ATK of shot/spell heroes to 1.5x,Boost square marker ATK to 1.6x for 1 turn,25,5 hits against one foe (50% x5),Lucky Healing,May heal 3% of HP,Arte Plus,Increases arte trigger rate by 1%,Weapon Boost 4,Boost weapon stats by 10%,,,
